youtube.com,172.217.1.206
live.com,204.79.197.212
facebook.com,157.240.3.35
yahoo.com,72.30.35.10
wikipedia.org,208.80.153.224
msn.com,13.82.28.61
microsoft.com,40.113.200.201
blogspot.com,172.217.2.9
wmfo.org,23.92.21.128
amazon.com,205.251.242.103
wordpress.com,192.0.78.17
baidu.com,123.125.114.144
yahoo.co.jp,182.22.59.229
apple.com,17.178.96.59
tudou.com,106.11.47.20
ebay.com,66.211.162.12
sohu.com,220.181.90.52
windows.com,40.113.200.201
xunlei.com,39.104.39.191
ifeng.com,123.103.122.24
paypal.com,64.4.250.36
pps.tv,101.227.188.176
tmall.com,140.205.94.193
56.com,101.227.173.126
hao123.com,123.125.114.5
goo.ne.jp,153.254.147.65
ku6.com,117.50.1.222
about.com,151.101.1.121
rakuten.co.jp,133.237.61.176
sogou.com,119.28.109.132
bbc.co.uk,151.101.0.81
bing.com,13.107.21.200
orkut.com.br,
fc2.com,54.191.118.67
qq.com,111.161.64.40
yandex.ru,5.255.255.70
myspace.com,63.135.90.70
sina.com.cn,202.108.33.107
cnet.com,64.30.228.118
mail.ru,217.69.139.199
go.com,23.236.60.174
163.com,123.58.180.8
skype.com,23.102.255.237
orkut.com,216.239.38.21
soso.com,119.28.109.132
ameblo.jp,23.73.229.128
ask.com,151.101.70.114
4399.com,118.184.184.70
flickr.com,69.147.88.7
twitter.com,104.244.42.193
adobe.com,193.104.215.58
naver.com,210.89.164.90
taobao.com,140.205.94.189
4shared.com,204.155.149.42
amazon.co.jp,52.119.168.48
mozilla.com,63.245.208.194
dailymotion.com,195.8.215.136
sdjjdsaf.com,
youku.com,106.11.186.1
imdb.com,52.94.228.167
andysayler.com,138.197.228.157
hotmail.com,204.79.197.212
aol.com,124.108.115.87
linkedin.com,108.174.10.10
alibaba.com,198.11.132.23
craigslist.org,208.82.237.226
360.cn,101.198.193.22
megaupload.com,
blogger.com,172.217.12.9
soku.com,106.11.47.19
weather.com,104.69.4.52
renren.com,120.133.2.242
answers.com,151.101.128.203
livedoor.jp,203.104.153.16
photobucket.com,209.17.68.100
rapidshare.com,0.0.0.0
mediafire.com,104.19.194.29
daum.net,211.231.99.80
seesaa.net,143.204.31.12
7k7k.com,101.200.128.82
ehow.com,23.227.13.162
softonic.com,35.190.12.174
imageshack.us,208.94.3.18
alipay.com,110.75.129.5
tianya.cn,124.225.65.154
nifty.com,222.158.213.148
paipai.com,
zynga.com,143.204.29.117
partypoker.com,195.72.135.96
mywebsearch.com,74.113.237.222
cnn.com,151.101.65.67
hp.com,15.72.164.74
kugou.com,119.146.204.176
walmart.com,161.170.232.170
youdao.com,61.135.218.27
hotfile.com,18.207.9.28
jp.msn.com,13.88.15.24
pconline.com.cn,219.136.245.40
vkontakte.ru,95.213.4.228
ebay.de,66.211.181.235
qiyi.com,101.227.188.170
2345.com,42.62.30.180
odnoklassniki.ru,5.61.23.11
